,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,38.52,-28.7,284.6,63,100,4.26
1,Qaanaaq,77.48,-69.36,248.35,40,0,2.43
2,Jamestown,42.1,-79.24,287.43,87,90,5.1
3,Srednekolymsk,67.45,153.68,245.49,98,100,3.03
4,Mar del Plata,-38.0,-57.56,290.33,82,0,1.0
5,Chifeng,42.27,118.96,263.98,38,0,2.86
6,Coahuayana Viejo,18.73,-103.68,295.86,68,67,1.49
7,Busselton,-33.65,115.33,303.44,14,0,4.47
8,Tarko-Sale,64.92,77.78,267.59,91,100,5.9
9,Alice Springs,-23.7,133.88,306.15,19,40,8.2
10,Geraldton,-28.77,114.6,307.15,32,0,6.7
11,Arrondissement de Rennes,48.17,-1.67,283.04,81,90,3.6
12,Mossamedes,-15.2,12.15,295.9,79,96,4.31
13,Butaritari,3.07,172.79,301.87,77,100,6.03
14,Albany,42.6,-73.97,289.51,87,90,3.6
15,Bartoszyce,54.25,20.81,275.21,79,100,7.21
16,Souillac,-20.52,57.52,299.97,78,75,4.1
17,Marawi,8.0,124.29,299.26,88,99,3.58
18,Rikitea,-23.12,-134.97,297.36,79,0,7.63
19,Mataura,-46.19,168.86,287.59,69,10,8.94
20,Atuona,-9.8,-139.03,300.33,76,2,6.71
21,Cape Town,-33.93,18.42,292.19,88,20,5.7
22,Carnarvon,-24.87,113.63,306.15,52,18,8.7
23,Palmer,42.16,-72.33,288.45,72,75,8.2
24,Kodiak,57.79,-152.41,270.19,68,1,2.6
25,Longyearbyen,78.22,15.64,258.15,45,20,7.7
26,Yellowknife,62.46,-114.35,232.38,64,20,2.1
27,Menongue,-14.66,17.69,289.29,97,100,1.89
28,Punta Arenas,-53.15,-70.92,283.92,87,75,3.6
29,Kaeo,-35.1,173.78,297.91,51,0,3.58
30,Castro,-24.79,-50.01,292.71,96,100,0.33
31,Severo-Kuril'sk,50.68,156.12,267.54,85,100,3.27
32,Esperance,-33.87,121.9,304.15,25,40,4.6
33,Cervo,43.67,-7.41,275.18,1,62,2.63
34,Mendi,-6.18,143.65,289.3,87,99,0.63
35,Grenville,12.12,-61.62,300.15,74,20,8.7
36,Tsimmerbude,54.67,20.13,277.15,80,40,7.0
37,East London,-33.02,27.91,292.15,100,5,3.1
38,Anshun,26.25,105.93,281.73,71,0,2.23
39,Yar-Sale,66.83,70.83,250.89,96,100,2.36
40,Almaznyy,48.04,40.05,276.15,86,75,7.0
41,New Norfolk,-42.78,147.06,295.24,32,69,7.7
42,Bilibino,68.05,166.44,249.75,100,100,1.59
43,Hasaki,35.73,140.83,281.58,81,75,4.6
44,Hobart,-42.88,147.33,295.12,32,63,7.7
45,Charters Towers,-20.1,146.27,304.4,39,85,3.94
46,Tuktoyaktuk,69.45,-133.04,245.15,75,90,4.1
47,Cordele,31.96,-83.78,292.64,93,90,7.4
48,Hambantota,6.12,81.12,300.15,94,75,6.2
49,Sibolga,1.74,98.78,301.7,63,90,0.78
50,Airai,-8.93,125.41,300.88,56,100,1.77
51,Valparaiso,-33.04,-71.63,288.15,82,0,3.6
52,Barrow,71.29,-156.79,245.15,75,1,9.8
53,Hilo,19.73,-155.09,294.02,62,90,4.6
54,Dombarovskiy,50.76,59.54,256.51,98,86,2.76
55,Peace River,56.25,-117.29,245.15,61,90,5.7
56,Cabrobo,-8.51,-39.31,299.23,62,37,7.38
57,Saint-Philippe,-21.36,55.77,298.67,83,40,10.3
58,Vostok,46.49,135.88,256.22,88,99,2.06
59,Nanyang,32.99,112.53,282.04,48,66,1.81
60,Shiyan,32.65,110.78,276.01,86,100,1.04
61,Olinda,-8.01,-34.86,301.15,69,40,2.1
62,Bethel,41.37,-73.41,287.45,82,90,4.6
63,Rudsar,37.14,50.29,277.23,93,42,0.95
64,Voineasa,44.28,24.13,274.66,86,61,2.1
65,Chokurdakh,70.63,147.92,238.99,99,0,1.52
66,Comodoro Rivadavia,-45.87,-67.5,290.15,67,0,1.0
67,Ushuaia,-54.8,-68.3,282.15,87,75,2.05
68,Provideniya,64.38,-173.3,261.72,95,100,4.29
69,Tazovsky,67.47,78.7,253.71,92,100,5.92
70,Vanimo,-2.67,141.3,301.05,77,100,1.4
71,Sistranda,63.73,8.83,277.15,80,75,5.7
72,Esmeraldas,-19.76,-44.31,297.65,78,100,1.0
73,Padang,-0.95,100.35,298.82,69,100,1.4
74,Kapaa,22.08,-159.32,297.1,88,20,4.6
75,Paine,-33.82,-70.75,295.15,30,0,4.1
76,Lebu,-37.62,-73.65,286.67,88,0,2.73
77,Olafsvik,64.89,-23.71,271.3,63,67,6.75
78,Kavaratti,10.57,72.64,301.15,74,40,3.43
79,Clyde River,70.47,-68.59,248.15,75,90,3.6
80,Port-Gentil,-0.72,8.78,300.43,78,0,2.45
81,Avarua,-21.21,-159.78,301.15,74,100,8.2
82,Calama,-22.47,-68.93,286.15,26,10,2.1
83,Leningradskiy,69.38,178.42,257.14,93,100,6.82
84,Vaini,-21.2,-175.2,302.15,79,75,3.6
85,Khatanga,71.97,102.5,257.19,88,98,3.25
86,Hermanus,-34.42,19.23,289.68,97,60,3.96
87,Nkhotakota,-12.93,34.3,298.4,75,100,5.86
88,Constitucion,-35.33,-72.42,286.76,81,0,2.04
89,Puerto Ayora,-0.74,-90.35,298.15,81,1,2.68
